status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.subsection_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Queen Elizabeth II, wearing a black mask and seated alone, said goodbye to her husband of more than 73 years, Prince Philip, the Duke of Edinburgh, at his funeral on Saturday at St. George’s Chapel in Windsor Castle.",https://www.nytimes.com/2021/04/17/world/europe/prince-philip-funeral-arrangements.html,,"Queen Elizabeth II, wearing a black mask and seated alone, said goodbye to her husband of more than 73 years, Prince Philip, the Duke of Edinburgh, at his funeral on Saturday at St. George’s Chapel in Windsor Castle.",The New York Times,2021-04-17T09:00:10+0000,article,Foreign,World,Europe,News,nyt://article/00da299b-d7ff-5296-b8bf-c14e632f742c,739,nyt://article/00da299b-d7ff-5296-b8bf-c14e632f742c,NA,NA,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,She was utterly alone.,https://www.nytimes.com/2021/04/17/world/europe/queen-elizabeth-prince-philip-funeral.html,,She was utterly alone.,The New York Times,2021-04-17T20:28:42+0000,article,Foreign,World,Europe,News,nyt://article/03c74190-78c2-53e3-80c8-4697792627dd,223,nyt://article/03c74190-78c2-53e3-80c8-4697792627dd,NA,NA,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Search teams from several countries had been looking for the navy vessel, which sank near Bali with 53 people aboard.",https://www.nytimes.com/2021/04/24/world/asia/indonesia-submarine-missing.html,"Search teams from several countries had been looking for the navy vessel, which sank near Bali with 53 people aboard.",There are few bonds stronger than that of sailors on a submarine. Each person selected for the crew must fulfill a critical role in an intricate interplay that allows a small metal vessel to dive deep in the sea for weeks at a time.,The New York Times,2021-04-24T09:03:08+0000,article,Foreign,World,Asia Pacific,News,nyt://article/03d05650-b159-590e-b1a6-7741aeea6f76,1162,nyt://article/03d05650-b159-590e-b1a6-7741aeea6f76,A,16,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Fighting as mercenaries for years, the rebels were ready to pull off their own stunning feat: an invasion that resulted in the death of Chad’s strongman ruler.",https://www.nytimes.com/2021/04/22/world/africa/chad-rebels.html,"Fighting as mercenaries for years, the rebels were ready to pull off their own stunning feat: an invasion that resulted in the death of Chad’s strongman ruler.","NAIROBI, Kenya — The rebels pulled off a stunning feat. Barely a week after their armed convoy roared across the desert into northern Chad, they kicked off a battle that on Monday claimed the biggest scalp of all: Idriss Déby, Chad’s iron-fisted president of three decades, killed on the battlefield when a shell exploded near his vehicle, according to a senior aide.",The New York Times,2021-04-22T07:00:08+0000,article,Foreign,World,Africa,News,nyt://article/09e1cad8-dd42-50df-b5ed-58169ca1363b,1208,nyt://article/09e1cad8-dd42-50df-b5ed-58169ca1363b,A,9,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,Canada is the only G7 nation whose greenhouse gas emissions have increased since the Paris Agreement. The main reason: its oil sands.,https://www.nytimes.com/2021/04/21/world/canada/trudeau-climate-oil-sands.html,Canada is the only G7 nation whose greenhouse gas emissions have increased since the Paris Agreement. The main reason: its oil sands.,OTTAWA — Prime Minister Justin Trudeau of Canada will arrive for President Biden’s climate summit on Thursday with an outsize reputation for being a warrior in the global fight against climate change.,The New York Times,2021-04-21T18:37:07+0000,article,Foreign,World,Canada,News,nyt://article/0aa91fb9-cc30-5c5b-8413-4f342c065fdd,1280,nyt://article/0aa91fb9-cc30-5c5b-8413-4f342c065fdd,A,13,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,President Joko Widodo announced the death of the high ranking intelligence chief and called for the arrest of rebel gunmen. Activists said they feared reprisals against Indigenous Papuans.,https://www.nytimes.com/2021/04/27/world/asia/indonesia-general-papua.html,President Joko Widodo announced the death of the high ranking intelligence chief and called for the arrest of rebel gunmen. Activists said they feared reprisals against Indigenous Papuans.,"Indonesia’s top intelligence official in Papua Province was a one-star general who did not believe in leading from his office. A Bali native, Brig. Gen. I Gusti Putu Danny Karya Nugraha rose through the ranks of Indonesia’s feared special forces and often went on patrol with troops in areas where separatist rebels were known to stage attacks.",The New York Times,2021-04-27T09:37:07+0000,article,Foreign,World,Asia Pacific,News,nyt://article/0c925e40-cb6f-5a0e-a6bc-d0e5b21228b4,721,nyt://article/0c925e40-cb6f-5a0e-a6bc-d0e5b21228b4,A,10,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The U.S. military departed the country on Aug. 30, a day ahead of schedule, ending a 20-year occupation and leaving Afghanistan in the Taliban’s hands.",https://www.nytimes.com/article/afghanistan-war-us.html,"The U.S. military departed the country on Aug. 30, a day ahead of schedule, ending a 20-year occupation and leaving Afghanistan in the Taliban’s hands.",The American mission in Afghanistan has come to a tragic and chaotic end.,The New York Times,2021-04-22T17:06:45+0000,article,Foreign,World,Asia Pacific,News,nyt://article/0cb60b7c-9ca9-5b55-83ba-e07fb3b83e3e,1692,nyt://article/0cb60b7c-9ca9-5b55-83ba-e07fb3b83e3e,A,9,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The new bill, which some fear will curtail civil liberties, comes after a series of attacks and as the far right is stoking feelings of insecurity.",https://www.nytimes.com/2021/04/28/world/europe/france-antiterrorism-bill.html,"The new bill, which some fear will curtail civil liberties, comes after a series of attacks and as the far right is stoking feelings of insecurity.","PARIS — The French government, responding to several attacks over the past seven months, presented a new anti-terrorism bill on Wednesday that would allow intense algorithmic surveillance of phone and internet communications and tighten restrictions on convicted terrorists emerging from prison.",The New York Times,2021-04-28T14:53:17+0000,article,Foreign,World,Europe,News,nyt://article/10da79bd-3f31-5c64-b503-bfb1d242be9d,958,nyt://article/10da79bd-3f31-5c64-b503-bfb1d242be9d,A,11,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,The number of children arriving in Mexico seeking to cross into the United States increased ninefold from January to March 2021. About 275 arrive each day.,https://www.nytimes.com/2021/04/19/world/americas/mexico-migrant-children.html,The number of children arriving in Mexico seeking to cross into the United States increased ninefold from January to March 2021. About 275 arrive each day.,"MEXICO CITY — The number of migrant children arriving in Mexico and hoping to enter the United States has increased ninefold from January to March this year, the U.N. Children’s Fund said Monday, with an average of 275 minors entering the country every day.",The New York Times,2021-04-19T21:16:54+0000,article,Foreign,World,Americas,News,nyt://article/11324bef-226a-58de-b7c1-bbd32b27927d,619,nyt://article/11324bef-226a-58de-b7c1-bbd32b27927d,NA,NA,1546,0,31
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,Most marijuana producers in Canada are still reporting staggering losses two and a half years after legalization.,https://www.nytimes.com/2021/04/18/world/canada/canada-marijuana-business-struggles.html,Most marijuana producers in Canada are still reporting staggering losses two and a half years after legalization.,"EXETER, Ontario — The mayor of the largely rural community of South Huron, Ontario, was looking forward to an employment boom when a marijuana producer used its soaring stock value to buy an enormous greenhouse on the edge of the municipality’s largest town.",The New York Times,2021-04-18T09:00:13+0000,article,Foreign,World,Canada,News,nyt://article/124ff28c-71fc-5a05-89aa-328d9dd22827,1295,nyt://article/124ff28c-71fc-5a05-89aa-328d9dd22827,A,10,1546,0,31
