status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.subsection_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"“What must the pastor do?” Francis said when a reporter asked him about the subject. “Be a pastor, don’t go condemning.”",https://www.nytimes.com/2021/09/15/world/europe/pope-francis-biden-abortion.html,"“What must the pastor do?” Francis said when a reporter asked him about the subject. “Be a pastor, don’t go condemning.”","ROME — Pope Francis weighed in on Wednesday on a debate roiling the Roman Catholic Church in the United States, where conservative bishops are pushing for guidelines that would deny communion to politicians, like President Biden, who support abortion rights.",A,11,The New York Times,2021-09-15T17:21:07+0000,article,Foreign,World,Europe,News,nyt://article/00c8d4c3-8359-5809-9a11-e6343e1f41a2,992,nyt://article/00c8d4c3-8359-5809-9a11-e6343e1f41a2,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"A young man ventured out to explore the new world of Afghanistan. For his sister, it seemed safer to watch through the window.",https://www.nytimes.com/2021/09/01/world/asia/taliban-kabul-scenes.html,"A young man ventured out to explore the new world of Afghanistan. For his sister, it seemed safer to watch through the window.","Ahmad, 27, lingered in bed. He did not want to face the day. His sister Haanya, 20, had no appetite for breakfast. She looked out the window, where four Taliban fighters were patrolling the block, AK-47 rifles swung over their shoulders.",NA,NA,The New York Times,2021-09-01T21:32:14+0000,article,Foreign,World,Asia Pacific,News,nyt://article/0166c742-96e3-5c0b-a7c3-0f453c876423,637,nyt://article/0166c742-96e3-5c0b-a7c3-0f453c876423,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"In a wide-ranging interview with a Spanish-language radio network, Francis said he was in good health after colon surgery in July, and insisted that he had not considered resigning.",https://www.nytimes.com/2021/09/01/world/europe/pope-afghanistan-health.html,"In a wide-ranging interview with a Spanish-language radio network, Francis said he was in good health after colon surgery in July, and insisted that he had not considered resigning.","ROME — Pope Francis criticized Western involvement in Afghanistan in an interview released on Wednesday, saying it showed the flaws of exporting Western values and nation-building.",A,12,The New York Times,2021-09-01T12:35:28+0000,article,Foreign,World,Europe,News,nyt://article/020462a3-0777-58e6-a760-4e2578ebeae9,569,nyt://article/020462a3-0777-58e6-a760-4e2578ebeae9,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Taliban leaders have been pressuring the Uzbek government to turn over the pilots, who fear for the safety of themselves and their families.",https://www.nytimes.com/2021/09/12/world/asia/afghan-pilots-united-states.html,"Taliban leaders have been pressuring the Uzbek government to turn over the pilots, who fear for the safety of themselves and their families.","WASHINGTON — An initial group of Afghan pilots who flew themselves and their family members to safety in Uzbekistan aboard Afghan Air Force aircraft were transferred to a U.S. military base in the United Arab Emirates on Sunday, according to the office of Representative August Pfluger, which has been in contact with one of the pilots and his wife.",A,7,The New York Times,2021-09-13T01:26:07+0000,article,Washington,World,Asia Pacific,News,nyt://article/0252930f-4863-5c20-8569-67992acee3c3,663,nyt://article/0252930f-4863-5c20-8569-67992acee3c3,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The prime minister reassigned the foreign minister, Dominic Raab, after the messy exit from Afghanistan, a setback for a government seeking a greater role on the world stage.",https://www.nytimes.com/2021/09/15/world/europe/boris-johnson-cabinet-reshuffle.html,"The prime minister reassigned the foreign minister, Dominic Raab, after the messy exit from Afghanistan, a setback for a government seeking a greater role on the world stage.","LONDON — Prime Minister Boris Johnson demoted his foreign secretary, Dominic Raab, on Wednesday in a sweeping cabinet shake-up that made Britain’s chief diplomat a highly visible casualty of the West’s chaotic exit from Afghanistan.",A,11,The New York Times,2021-09-15T12:17:58+0000,article,Foreign,World,Europe,News,nyt://article/026523e4-dc1e-57cd-a044-b9e7db82d968,1178,nyt://article/026523e4-dc1e-57cd-a044-b9e7db82d968,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The ruling, which sets a precedent for the legalization of abortion nationwide, follows years of efforts by a growing women’s movement in Mexico.",https://www.nytimes.com/2021/09/07/world/americas/mexico-supreme-court-decriminalize-abortion.html,"The ruling, which sets a precedent for the legalization of abortion nationwide, follows years of efforts by a growing women’s movement in Mexico.","MEXICO CITY — Criminalizing abortion is unconstitutional, Mexico’s Supreme Court ruled on Tuesday, setting a precedent that could lead to legalization of the procedure across this conservative Catholic country of about 130 million people.",A,1,The New York Times,2021-09-07T19:26:54+0000,article,Foreign,World,Americas,News,nyt://article/039d9c62-7cfe-5b52-92fe-8daba4c9ec86,985,nyt://article/039d9c62-7cfe-5b52-92fe-8daba4c9ec86,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The president, following one of his core beliefs, has put himself at odds with much of the establishment, on the right and left, in Washington and across Europe.",https://www.nytimes.com/2021/09/01/world/europe/afghanistan-biden-foreign-policy.html,"The president, following one of his core beliefs, has put himself at odds with much of the establishment, on the right and left, in Washington and across Europe.","LONDON — When President Biden served as Barack Obama’s vice president, he was often a lonely dissenter in White House debates about military intervention, never more so than on Afghanistan, where he strongly opposed the Pentagon’s 2009 troop surge and was overruled by Mr. Obama and his generals.",A,6,The New York Times,2021-09-01T21:30:52+0000,article,Foreign,World,Europe,News,nyt://article/06313209-adb5-5f03-80d8-e49768083cf5,1251,nyt://article/06313209-adb5-5f03-80d8-e49768083cf5,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Insurgents who seize power tend to be authoritarian but pragmatic, desperate for legitimacy and ruthless toward classes they see as hostile.",https://www.nytimes.com/2021/09/02/world/asia/taliban-govern-rebel-history.html,"Insurgents who seize power tend to be authoritarian but pragmatic, desperate for legitimacy and ruthless toward classes they see as hostile.","As Taliban commanders exchange their guns for the reins of power, some 38 million Afghans can do little but hold their breath and wait to see how their latest conquerors will rule.",A,7,The New York Times,2021-09-02T18:50:33+0000,article,Foreign,World,Asia Pacific,News,nyt://article/08874306-b21e-5b43-a503-94a561144e87,1199,nyt://article/08874306-b21e-5b43-a503-94a561144e87,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"On a quick trip to the country, Francis met with Prime Minister Viktor Orban, Hungary’s hard-right leader, before celebrating a public Mass.",https://www.nytimes.com/2021/09/12/world/europe/pope-francis-viktor-orban-hungary.html,"On a quick trip to the country, Francis met with Prime Minister Viktor Orban, Hungary’s hard-right leader, before celebrating a public Mass.","BUDAPEST — Pope Francis used his short time in Budapest on Sunday to urge his bishops to embrace diversity and send a message to the country’s hard-right, anti-migrant leader, Prime Minister Viktor Orban, that God is not a strongman who silences enemies and that religious roots, while vital for a country, also allow it to open up and extend “its arms toward everyone.”",A,8,The New York Times,2021-09-12T13:32:43+0000,article,Foreign,World,Europe,News,nyt://article/09061e40-6179-587e-980e-0a8586c3868c,1263,nyt://article/09061e40-6179-587e-980e-0a8586c3868c,1946,0,62
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,Yoshihide Suga’s abrupt decision came after he had spent days trying to salvage a historically unpopular administration.,https://www.nytimes.com/2021/09/02/world/asia/japan-suga-resign-election.html,Yoshihide Suga’s abrupt decision came after he had spent days trying to salvage a historically unpopular administration.,"TOKYO — Less than a year after becoming prime minister of Japan, Yoshihide Suga said on Friday that he would not seek re-election as the head of its governing party, raising the prospect of a return to the revolving-door leadership that once characterized the top office of the world’s third-largest economy.",A,4,The New York Times,2021-09-03T03:38:20+0000,article,Foreign,World,Asia Pacific,News,nyt://article/093afb1e-d164-5153-b7d5-88ed614df24b,1160,nyt://article/093afb1e-d164-5153-b7d5-88ed614df24b,1946,0,62
