headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
0.25,0.184,0.684,0.132,0,0.527,0.07,0.863,0.067,4
-0.599,0,0.692,0.308,0,-0.987,0.054,0.766,0.18,2
0.727,0.433,0.567,0,0,-0.789,0.073,0.854,0.073,8
-0.691,0,0.612,0.388,0,-1,0.051,0.779,0.169,4
0.226,0.235,0.523,0.242,0,0.998,0.104,0.854,0.042,8
-0.836,0,0.473,0.527,0,-0.996,0.115,0.726,0.16,2
-0.599,0,0.738,0.262,0,-1,0.06,0.84,0.1,6
-0.625,0,0.661,0.339,0,-0.996,0.076,0.798,0.126,3
0,0,1,0,0,-0.872,0.081,0.835,0.085,0
0.128,0.158,0.842,0,0,0.997,0.112,0.832,0.056,4
-0.273,0.22,0.472,0.307,0,-0.999,0.064,0.817,0.119,8
-0.103,0.337,0.288,0.375,0,-1,0.071,0.769,0.16,10
-0.875,0,0.438,0.562,0,-0.999,0.067,0.724,0.208,3
-0.67,0,0.71,0.29,0,-0.999,0.022,0.854,0.124,0
0,0,1,0,0,0.813,0.095,0.818,0.088,2
-0.296,0,0.833,0.167,0,-0.996,0.076,0.76,0.164,3
-0.296,0,0.784,0.216,0,0.722,0.066,0.869,0.066,2
-0.813,0,0.486,0.514,0,-0.997,0.065,0.808,0.128,0
-0.796,0.087,0.492,0.421,0,-0.993,0.062,0.824,0.114,2
0,0,1,0,0,-0.99,0.077,0.814,0.109,1
0.572,0.481,0.519,0,0,1,0.206,0.752,0.042,3
-0.077,0.309,0.369,0.323,0,0.99,0.131,0.764,0.105,2
-0.318,0,0.813,0.187,0,-0.984,0.082,0.809,0.109,3
-0.599,0,0.719,0.281,0,0.984,0.067,0.881,0.053,3
0.296,0.239,0.761,0,0,-0.872,0.05,0.866,0.084,0
-0.649,0,0.699,0.301,0,-1,0.03,0.778,0.193,0
-0.402,0,0.654,0.346,0,-0.998,0.056,0.842,0.103,8
-0.542,0,0.72,0.28,0,-0.979,0.043,0.881,0.076,1
0.637,0.344,0.656,0,0,0.665,0.051,0.901,0.048,3
-0.296,0,0.804,0.196,0,0.691,0.077,0.853,0.07,3
-0.178,0.135,0.677,0.188,0,0.999,0.146,0.783,0.071,4
0,0,1,0,0,0.999,0.13,0.824,0.046,10
-0.202,0,0.833,0.167,0,0.925,0.08,0.851,0.068,3
-0.382,0.146,0.625,0.229,0,-0.944,0.044,0.898,0.057,1
0,0,1,0,0,-0.995,0.071,0.832,0.097,5
0,0,1,0,0,-0.996,0.059,0.812,0.129,2
0.026,0.155,0.845,0,0,-0.786,0.094,0.815,0.091,5
-0.421,0,0.781,0.219,0,-0.998,0.044,0.868,0.088,4
0.44,0.195,0.805,0,0,0.999,0.152,0.805,0.044,9
-0.527,0,0.714,0.286,0,0.026,0.025,0.953,0.022,0
0.572,0.27,0.73,0,0,0.999,0.174,0.767,0.059,7
-0.25,0.215,0.443,0.342,0,-0.998,0.062,0.816,0.123,3
0.202,0.13,0.87,0,0,-0.981,0.054,0.87,0.075,1
0.25,0.304,0.49,0.206,0,-0.977,0.055,0.844,0.101,1
0.382,0.271,0.729,0,0,0.973,0.106,0.83,0.064,1
-0.34,0,0.821,0.179,0,-0.997,0.045,0.82,0.135,4
-0.743,0,0.526,0.474,0,-0.999,0.041,0.862,0.097,5
-0.743,0,0.559,0.441,0,-0.987,0.091,0.793,0.116,4
-0.848,0,0.523,0.477,0,-0.976,0.059,0.836,0.106,1
0,0,1,0,0,0.997,0.112,0.846,0.042,2
0.25,0.273,0.727,0,0,-0.992,0.066,0.841,0.093,4
-0.818,0,0.545,0.455,0,-0.999,0.062,0.748,0.19,4
0,0,1,0,0,0.997,0.094,0.854,0.052,3
-0.599,0,0.588,0.412,0,0.437,0.087,0.832,0.082,2
0,0,1,0,0,0.99,0.112,0.798,0.09,5
0,0,1,0,0,0.994,0.062,0.901,0.036,2
-0.25,0,0.778,0.222,0,-1,0.042,0.814,0.144,7
0,0,1,0,0,0.987,0.088,0.872,0.039,1
0.44,0.244,0.756,0,0,-0.992,0.08,0.797,0.123,4
-0.44,0.157,0.566,0.277,0,-0.988,0.094,0.773,0.133,3
-0.796,0,0.496,0.504,0,-0.998,0.067,0.811,0.122,7
-0.477,0,0.78,0.22,0,-0.984,0.036,0.893,0.071,1
0,0,1,0,0,-0.992,0.083,0.81,0.108,2
-0.34,0,0.789,0.211,0,0.98,0.098,0.853,0.048,2
0,0,1,0,0,0.991,0.065,0.902,0.033,4
0,0,1,0,0,-0.996,0.058,0.833,0.109,3
-0.026,0,0.901,0.099,0,-0.991,0.081,0.792,0.127,5
-0.34,0.211,0.469,0.32,0,0.879,0.08,0.86,0.06,0
-0.103,0,0.887,0.113,0,-0.994,0.075,0.819,0.106,5
-0.44,0,0.805,0.195,0,-0.997,0.067,0.789,0.143,4
0,0,1,0,0,-0.995,0.062,0.812,0.126,4
0,0,1,0,0,0.995,0.096,0.849,0.055,7
0.318,0.301,0.559,0.14,0,-0.996,0.081,0.806,0.113,0
-0.625,0,0.594,0.406,0,-0.493,0.086,0.825,0.089,7
0.482,0.258,0.742,0,0,0.994,0.141,0.759,0.099,9
-0.318,0,0.867,0.133,0,-0.991,0.057,0.832,0.11,3
0,0,1,0,0,-0.999,0.054,0.818,0.127,3
0,0,1,0,0,-0.988,0.042,0.879,0.079,2
-0.772,0,0.51,0.49,0,-1,0.056,0.779,0.165,1
0,0,1,0,0,0.984,0.098,0.832,0.07,5
-0.128,0.174,0.621,0.205,0,0.995,0.112,0.808,0.081,4
0,0,1,0,0,-0.991,0.085,0.8,0.116,1
0,0.233,0.533,0.233,0,-0.126,0.089,0.821,0.091,0
-0.691,0,0.598,0.402,0,-1,0.033,0.833,0.134,6
-0.44,0,0.734,0.266,0,-0.99,0.081,0.821,0.099,6
-0.052,0,0.893,0.107,0,0.983,0.097,0.827,0.077,4
-0.542,0,0.759,0.241,0,-0.997,0.041,0.852,0.107,3
-0.402,0,0.769,0.231,0,-0.986,0.046,0.845,0.109,0
0.402,0.213,0.787,0,0,0.994,0.121,0.848,0.031,3
-0.34,0,0.844,0.156,0,-0.807,0.08,0.834,0.086,6
0,0,1,0,0,-0.957,0.065,0.835,0.099,4
0.67,0.314,0.686,0,0,-1,0.068,0.752,0.18,3
0.58,0.322,0.678,0,0,0.996,0.106,0.855,0.039,3
0,0.212,0.577,0.212,0,0.991,0.128,0.813,0.059,0
-0.421,0,0.741,0.259,0,-0.996,0.038,0.893,0.068,4
-0.382,0,0.809,0.191,0,-0.988,0.072,0.812,0.116,10
-0.743,0,0.559,0.441,0,-0.991,0.054,0.838,0.109,2
-0.103,0,0.833,0.167,0,-0.999,0.04,0.842,0.118,7
0,0,1,0,0,-0.418,0.082,0.841,0.077,3
-0.852,0,0.492,0.508,0,-0.998,0.051,0.838,0.111,4
0,0,1,0,0,-0.998,0.097,0.783,0.12,8
-0.202,0.211,0.461,0.329,0,-0.999,0.053,0.853,0.094,6
0.586,0.324,0.676,0,0,0.997,0.073,0.893,0.034,5
-0.743,0,0.559,0.441,0,-0.999,0.045,0.791,0.164,0
-0.751,0.133,0.234,0.633,0,-0.967,0.049,0.879,0.072,1
-0.361,0,0.737,0.263,0,-0.997,0.065,0.747,0.188,2
-0.202,0,0.87,0.13,0,-0.998,0.062,0.788,0.149,5
-0.7,0,0.674,0.326,0,-0.999,0.055,0.817,0.128,6
-0.71,0,0.629,0.371,0,-1,0.071,0.753,0.176,8
0,0,1,0,0,-0.978,0.036,0.897,0.066,2
0.361,0.238,0.762,0,0,-0.93,0.086,0.817,0.097,1
-0.818,0,0.571,0.429,0,-0.889,0.11,0.776,0.114,7
-0.382,0,0.755,0.245,0,-0.973,0.101,0.777,0.122,3
-0.557,0,0.66,0.34,0,0.975,0.098,0.828,0.074,0
-0.44,0,0.756,0.244,0,0.999,0.122,0.82,0.058,4
0,0,1,0,0,-0.993,0.084,0.803,0.112,4
0,0,1,0,0,0.995,0.103,0.826,0.071,7
-0.296,0,0.784,0.216,0,-0.182,0.057,0.868,0.074,3
-0.925,0,0.374,0.626,0,-0.999,0.048,0.834,0.117,6
-0.691,0,0.584,0.416,0,0.969,0.104,0.806,0.09,1
-0.459,0.152,0.506,0.342,0,-0.981,0.09,0.781,0.13,1
0,0,1,0,0,0.537,0.054,0.907,0.039,1
-0.778,0,0.541,0.459,0,-0.984,0.072,0.84,0.088,3
0.459,0.214,0.786,0,0,0.998,0.096,0.885,0.018,4
-0.599,0,0.719,0.281,0,-0.996,0.047,0.863,0.091,4
0,0,1,0,0,0.926,0.098,0.824,0.077,4
-0.743,0,0.674,0.326,0,0.735,0.048,0.911,0.041,5
0,0,1,0,1,0.985,0.07,0.882,0.048,10
-0.226,0,0.826,0.174,0,-0.999,0.08,0.753,0.167,5
-0.361,0,0.632,0.368,0,-0.989,0.049,0.831,0.12,1
0.494,0.225,0.775,0,0,0.994,0.083,0.895,0.021,2
-0.361,0,0.783,0.217,0,-0.166,0.071,0.855,0.074,4
0.421,0.203,0.797,0,0,0.999,0.16,0.816,0.025,3
0,0,1,0,0,0.978,0.073,0.869,0.058,6
-0.361,0,0.737,0.263,0,-0.999,0.095,0.765,0.141,3
0.296,0.216,0.784,0,0,-0.997,0.057,0.781,0.162,3
0.686,0.371,0.534,0.095,1,0.996,0.11,0.816,0.074,3
-0.586,0,0.612,0.388,0,-0.999,0.046,0.85,0.103,3
-0.421,0,0.641,0.359,0,-0.999,0.032,0.883,0.085,2
0.421,0.237,0.763,0,0,-0.999,0.083,0.791,0.125,5
-0.718,0.099,0.494,0.407,0,-0.998,0.066,0.806,0.128,5
0,0,1,0,0,0.948,0.056,0.9,0.044,8
-0.84,0,0.4,0.6,0,-0.939,0.062,0.869,0.07,4
0.153,0.161,0.726,0.113,0,-0.982,0.098,0.79,0.112,3
-0.612,0,0.615,0.385,0,-0.998,0.049,0.813,0.138,4
0,0,1,0,0,0.999,0.154,0.798,0.048,4
0.511,0.248,0.752,0,0,0.266,0.048,0.913,0.039,1
-0.7,0,0.696,0.304,0,0.914,0.066,0.882,0.052,4
