headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
-0.34,0,0.821,0.179,0,0.912,0.072,0.87,0.058,5
0,0,1,0,0,-0.992,0.071,0.822,0.106,4
-0.34,0,0.676,0.324,0,-0.977,0.088,0.789,0.123,2
0.421,0.219,0.781,0,0,0.348,0.081,0.849,0.07,5
0,0,1,0,0,0.926,0.083,0.847,0.07,3
0.557,0.375,0.625,0,0,0.861,0.122,0.771,0.107,4
0.202,0.205,0.795,0,0,-0.998,0.102,0.764,0.134,7
-0.153,0,0.873,0.127,0,-0.999,0.102,0.747,0.151,9
0.318,0.223,0.777,0,0,0.999,0.118,0.842,0.04,5
0,0,1,0,0,0.944,0.089,0.833,0.078,5
-0.34,0,0.844,0.156,0,-0.985,0.032,0.847,0.121,1
0.459,0.342,0.506,0.152,0,1,0.151,0.804,0.045,4
-0.542,0.194,0.387,0.419,0,-0.946,0.082,0.812,0.105,3
0,0,1,0,0,0.978,0.105,0.873,0.022,1
-0.625,0,0.709,0.291,0,-0.999,0.082,0.773,0.145,8
-0.34,0,0.769,0.231,0,-0.983,0.077,0.795,0.128,1
-0.494,0,0.802,0.198,0,0.998,0.091,0.858,0.051,9
-0.202,0,0.816,0.184,0,-0.951,0.065,0.829,0.106,4
-0.153,0,0.849,0.151,0,-0.998,0.062,0.834,0.103,10
0,0,1,0,0,-0.996,0.032,0.85,0.118,0
0.586,0.375,0.625,0,0,0.988,0.115,0.815,0.07,3
-0.599,0.14,0.447,0.413,0,-0.995,0.033,0.876,0.091,4
-0.637,0.153,0.474,0.374,0,-0.994,0.038,0.858,0.104,0
-0.077,0.255,0.47,0.275,0,-0.999,0.051,0.84,0.109,4
0,0,1,0,0,-0.746,0.079,0.84,0.082,4
0,0,1,0,0,-0.991,0.07,0.842,0.088,7
-0.226,0.259,0.35,0.392,0,-0.805,0.08,0.838,0.082,8
